ID,consider_analyses,zip,town,canton,coordX,coordY,accuracy_of_coordinates,intentionality,type_of_food,source_of_food,frequency,amount g,restricted feeding,site_characteristics,n_birds,start,started,end,updates 12.2.22
124,unknown,5504,Othmarsingen,ZH,659067,250459,neighbour,intentional,chicken,grocery store,daily,3000,winter,meadow, 5-30,2020,2019,ongoing,
125,small ,5725,Leutwil,AG,655360,240658,exact,intentional,chicken necks,grocery store,3-4/week,3-6 necks per day,year round,garden,2,2020,2020,ongoing,
126,small ,4436,Oberdorf,BL,624044,249053,exact,intentional,slaughter waste,butchery,daily,< 200 ,year round,garden,2,2020,2012,ongoing,
127,medium,9555,Tobel,TG,720033,263534,town,intentional,slaughter waste,butchery,3-4/week,5000,winter,meadow,> 40,2020,> 10 years,ongoing,
128,small ,4536,Attiswil ,BE,389500,233240,exact,intentional,chicken necks,grocery store,daily,> 1000,winter,garden, 2-5,2020,2012,ongoing,
129,small ,9546,Tuttwil ,TG,884500,259839,exact,intentional,meat (fox) ,hunting,unknown,unknown,winter,garden,2,2021,2020,unknown,
130,medium,6244,Nebikon ,LU ,446000,227516,town,unknown,unknown,unknown,unknown,unknown,unknown,unknown,30-50,2021,unknown,ongoing,
131,small ,8525,Niederneunforn,TG,500750,272619,exact,intentional,"kitchen waste, cheese",grocery store,1-2x/week,< 200 ,year round,garden,2,2020,2016,ongoing,
132,small ,8525,Niederneunforn,TG,482500,272606,exact,intentional,cheese,grocery store,3-4/week,< 200 ,year round,garden, 2-10,2020,2013,ongoing,
133,small ,8212,Neuhausen,SH,687080,281413,exact,intentional,kitchen waste,grocery store,3-4/week,500,year round,meadow,5,2020,> 10 years,ongoing,
134,unknown,8405,Winterthur,ZH,699407,260471,exact,intentional,chicken necks,unknown,daily,1800,unknown (probably year round),unknown,unknown,2021,unknown,ongoing,
135,unknown,5015,Erlinsbach,SO,642854,248841,neighbour,intentional,meat,unknown,3-4/week,unknown,unknown (probably year round),unknown,unknown,2021,2019,ongoing,
136,unknown,9500,Wil ,SG,721148,259179,neighbour,intentional,"meat, pasta",unknown,unknown,unknown,year round,unknown,unknown,2021,unknown,ongoing,
137,small,8308,Illnau,ZH,696202,251801,exact,intentional,"meat, fish",unknown,unknown,unknown,winter,garden,unknown,2021,2019,ongoing,
138,medium,9556,Affeltrangen,TG,720336,264928,exact,intentional,chicken,local butcher,daily,300-600,winter,garden,2-Jun,2022,2012,ongoing,
139,medium,4456,Tenniken,BL,628755,254287,exact,intentional,slaughter waste,local butcher,daily,unknown,year round,garden,unknown,2022,unknown,ongoing,
140,small,3110,Münsingen,BE,609302,192260,exact,intentional,meat,local butcher,daily,200-300g,year round,garden,2-Mar,2022,2022,ongoing,
141,medium,3183,Schwarzenburg,BE,591440.001,188929.885,exact,unknown,unknown,unknown,unknown,unknown,unknown,unknown,7,2015,2022,ongoing,
