ID;nest_name;municipaliy;location;coordX;coordY;tree_species;latitude;longitude;eu_dem_v11;swissALTI;nest_height_m;official_zip;official_municipality;official_locality;official_canton;official_country
130;Märstetten_Neuburg;Märstetten;Neuburg;724563;273439;Fsyl;47.599805;9.095033;482.07;485.00;NA;8561;Ottoberg;Buechhölzli;Thurgau;Switzerland
131;Flamatt_Zehnthus;Flamatt;Zehnthus;588332;192941;Fexc;46.887481;7.285543;604.45;601.12;NA;3184;Wünnewil;Zehnthus;Fribourg;Switzerland
132;Cordast_Fineta;Cordast;Fineta;577865;190629;Fsyl;46.866417;7.148324;663.42;652.12;25.8;1792;Cordast;Haspa-Wald;Fribourg;Switzerland
133;Flamatt_Vorschalta;Flamatt;Vorschalta;592618;193032;Pabi;46.888362;7.341776;587.85;595.49;24.5;3182;Ueberstorf;Vorschalta;Fribourg;Switzerland
134;Ueberstorf_Hundsflueh;Ueberstorf;Hundsflueh;593211;191967;Fsyl;46.878788;7.349573;655.69;651.50;27.2;3182;Ueberstorf;Hundsflue;Fribourg;Switzerland
135;Ueberstorf_Cholholz;Ueberstorf;Cholholz;593323;191642;Fsyl;46.875866;7.351047;615.81;612.17;22.5;3182;Ueberstorf;Cholholz;Fribourg;Switzerland
136;Ueberstorf_Ufem Burst;Ueberstorf;Ufem Burst;593066;191008;Fsyl;46.87016;7.347686;725.05;704.07;27.8;3182;Ueberstorf;Toggeliholz;Fribourg;Switzerland
137;Albligen_Walismatt;Albligen;Walismatt;590820;188163;Pabi;46.844541;7.318284;719.06;710.52;28.2;3183;Albligen;Änetmooswald;Bern;Switzerland
138;Ueberstorf_Ledeu spruce;Ueberstorf;Ledeu spruce;589330;189783;Pabi;46.859091;7.298712;655.01;658.23;36.0;3182;Ueberstorf;Studweid;Fribourg;Switzerland
139;Schmitten_Bunziwil S;Schmitten;Bunziwil S;586679;189477;Pabi;46.85629;7.263957;608.47;607.00;27.8;3185;Schmitten (FR);Maiächerli;Fribourg;Switzerland
140;Ependes_Ependes;Ependes;Ependes;577915;178675;Pabi;46.758889;7.149559;705.36;696.79;29.5;1731;Ependes FR;Bois du Riau;Fribourg;Switzerland
141;Villarsel_N;Villarsel;N;579835;179199;Fsyl;46.763663;7.174667;705.94;705.65;NA;1723;Villarsel-sur-Marly;Bois de la Tailla;Fribourg;Switzerland
142;Ackenmatt_Mühle;Ackenmatt;Mühle;593917;188972;Aalb;46.851854;7.358875;715.71;702.57;NA;3148;Lanzenhäusern;Studengraben;Bern;Switzerland
143;Kriessbaumen_Pfadflüeh;Kriessbaumen;Pfadflüeh;592482;181395;Aalb;46.783682;7.340185;966.85;936.23;NA;3159;Riedstätt;Pfadflüh;Bern;Switzerland
144;Milken_Pt. 961;Milken;Pt. 961;594060;182671;Aalb;46.795176;7.360833;962.78;956.84;NA;3157;Milken;Schluchtholz;Bern;Switzerland
145;Schmitten_Ettelberg power line;Schmitten;Ettelberg power line;586938;188930;Fsyl;46.851375;7.267369;659.66;664.03;26.5;3185;Schmitten (FR);Bunziwilholz;Fribourg;Switzerland
146;Niedermuhlern_Schür center;Niedermuhlern;Schür center;602072;190883;Pabi;46.86907;7.465811;870.46;865.30;NA;3087;Niedermuhlern;Tann;Bern;Switzerland
147;Tentlingen_Vieille Rossmatta N;Tentlingen;Vieille Rossmatta N;580071;179604;Fsyl;46.767314;7.177739;700.30;693.65;19.2;1723;Marly;Route des Pralettes;Fribourg;Switzerland
148;Plasselb_Allmet;Plasselb;Allmet;586000;175370;Pabi;46.729379;7.255487;895.36;892.62;27.7;1737;Plasselb;Allmet;Fribourg;Switzerland
149;Bösingen_Gertholz;Bösingen;Gertholz;585397;193310;Psyl;46.890742;7.247022;577.90;572.81;23.5;3178;Bösingen;Bergholz;Fribourg;Switzerland
150;St. Antoni_Lampertshalten;St. Antoni;Lampertshalten;586300;185235;Psyl;46.818125;7.259115;751.28;755.04;25.5;1713;St. Antoni;Schrickholz;Fribourg;Switzerland
