nr,coord_x,coord_y,square,random,area,Q1,Q2,Q3,Q4.a,Q4.b,Q4.c,Q5,Q6Rotmilan,Q7,Q8.Erhaltung,Q8.näher,Q8.Vorschlag,Q8.Photo,Q8.übriges.L,Q8.sonstiges,Q9,Q10,Q11.a,Q11.b,Q11.c,sex,age,reaction..0.2.,building.type,comments,intentionality,ref.nr..Known.feeder
44,582915.8,189829.9,H18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,farm,"Shit heap, might feed non intentionally ",NA,NA
45,585741.3,188605.4,H19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
46,585967.2,188970.7,H19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,>65,2,house + garden,NA,NA,NA
47,587285.3,189352.1,H19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,"Shit heap, might feed non intentionally ",NA,NA
48,585732.1,189153.4,H19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,20-35,1,apartment ,NA,NA,NA
49,585805.7,188252.3,H19,1,village,Ja,ganze Jahr,täglich,Küchenabfälle,NA,NA,<200g,1,>10years,NA,NA,NA,NA,1,NA,NA,1,0,NA,NA,F,35-50,2,farm,NA,intentional,NA
50,585295.3,188874.6,H19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
51,587140.4,187801.5,H19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,B,50-65,1,house + garden,NA,NA,NA
52,585155.1,189090.1,H19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,20-35,1,house,NA,NA,NA
53,586249.8,188846.5,H19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,M,50-65,2,house + garden,possible feeding around alterswil 585520 182823,NA,NA
54,585309.7,189041.5,H19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,F,50-65,1,house + garden,Butcher at la roche feeds every evening,NA,NA
55,589573.9,187902.4,H20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,NA,NA,NA
56,587586.3,187732.5,H20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
57,588711.5,189842.3,H20,1,outside,Ja,ganze Jahr,1-2/Woche,placenta,NA,NA,>1000g,1,>10years,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,2,farm,Shit heap. non intentional but aware RK feed on it ,nonintentional,NA
58,587848.3,187631.7,H20,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,house + garden,NA,NA,NA
59,589263.9,187686.1,H20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,0,farm,"Nice talking to me, but thinks RK will become a plague",NA,NA
60,590773.7,188808.4,H21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
61,590377.4,189176.8,H21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,592128.3,187844.7,H21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,35-50,2,farm,Lots martin nests,NA,NA
63,591034.2,188458.1,H21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,farm,NA,NA,NA
64,590207.5,188650.1,H21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
65,590168.1,188469.6,H21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,>65,1,house + garden,Shit heaps where she put scraps,NA,NA
66,593032.8,189554.8,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,farm,NA,NA,NA
67,592903.3,185638,H22,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,house,NA,NA,NA
68,594355.1,185132.1,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,house + garden,NA,NA,NA
69,593322.1,187399.5,H22,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,>65,1,farm,Shit heap ,NA,NA
70,593426.8,188810.5,H22,1,outside,Ja,ganze Jahr,1-2/Woche,Rind/Schwein/Lamm/Huhn/verarbeitete,beide,gekochtes Fleisc,<200g,1,2-3years,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,2,house + garden,"Feeds meat scraps, little ",intentional,NA
71,594343.6,187531,H22,1,outside,Ja,ganze Jahr,1-2/Woche,Küchenabfälle,beide,gekochtes Fleisc,<200g,1,>10years,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,2,farm,NA,nonintentional,NA
72,594352,187210,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,NA,NA,NA
73,593964.7,186684.9,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
74,594170.4,188621.9,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,20-35,1,apartment ,NA,NA,NA
75,593298,186621.1,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,NA,NA
76,593901,185296.9,H22,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,farm,NA,NA,NA
77,594201.4,188597.9,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
78,593721.9,186227,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
79,594376.3,188248.1,H22,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,>65,1,house + garden,NA,NA,NA
80,594800.4,185740.2,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,farm,Interested in birds/research,NA,NA
81,593469.2,188987.8,H22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,farm,NA,NA,NA
82,592596.9,185472.1,H22,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house,restaurant,NA,NA
